temperature,humidity,soil_moisture,irrigation_needed
26.58,57.47,31.47,0
37.99,52.49,18.56,0
35.05,60.0,27.32,0
27.16,60.54,31.08,0
38.83,53.85,25.98,0
27.5,54.76,13.47,0
26.29,72.16,26.33,0
26.73,65.09,24.56,0
23.24,61.79,27.15,0
35.78,69.39,39.88,0
28.48,74.86,24.37,0
21.93,55.75,29.58,0
25.63,83.39,29.13,0
20.18,89.9,13.04,0
20.18,80.0,16.69,0
32.05,52.22,33.65,0
35.47,52.35,21.4,0
27.27,61.98,36.99,0
24.29,89.98,9.64,0
30.28,55.23,19.61,0
31.44,88.43,7.97,1
38.92,54.76,36.27,0
26.11,87.57,23.28,0
27.82,60.23,11.75,0
37.24,61.71,15.2,0
37.09,82.54,14.03,1
23.62,61.62,30.46,0
30.28,74.2,38.46,0
27.17,55.56,31.23,0
23.73,64.87,20.6,0
27.87,72.35,18.83,0
26.17,53.78,9.92,0
37.08,72.17,32.31,0
23.05,84.55,11.08,0
31.99,66.53,37.28,0
25.8,75.33,26.05,0
33.21,54.99,32.34,0
24.94,71.21,29.75,0
37.25,76.08,36.56,0
20.5,60.51,12.88,0
22.93,84.77,37.68,0
38.17,76.53,16.87,0
22.92,79.97,15.01,0
29.93,61.48,37.32,0
27.7,88.45,18.61,0
26.64,60.49,8.99,0
35.55,88.74,8.15,1
33.74,57.86,13.09,1
29.66,70.12,17.71,0
28.35,60.78,8.75,0
32.44,82.63,23.78,0
37.88,68.97,35.29,0
31.22,89.51,6.51,1
32.34,82.99,13.48,1
24.98,78.16,18.68,0
30.23,79.14,23.31,0
29.74,60.11,8.57,0
30.94,67.72,31.63,0
37.05,80.11,38.74,0
31.86,73.52,28.58,0
31.35,75.12,5.7,1
34.27,85.79,32.95,0
20.72,61.48,20.65,0
35.1,56.59,32.9,0
25.94,63.58,5.89,0
26.2,68.59,34.58,0
33.02,86.72,26.43,0
32.93,58.89,38.37,0
23.98,62.31,32.46,0
21.84,84.33,7.72,0
35.67,78.4,30.54,0
39.89,72.24,26.69,0
34.83,50.09,15.48,0
27.85,68.11,20.22,0
33.97,73.2,35.14,0
28.89,61.43,26.05,0
30.37,72.04,21.98,0
31.94,63.39,11.55,1
26.51,62.56,23.41,0
25.68,50.39,14.35,0
37.52,66.85,19.2,0
27.31,71.66,17.5,0
33.48,83.07,32.36,0
23.22,58.65,21.06,0
24.98,64.01,10.15,0
39.93,58.83,31.68,0
21.35,69.59,14.76,0
20.25,82.31,14.52,0
21.13,89.87,37.56,0
38.29,63.65,12.72,1
37.3,66.62,15.1,0
35.34,71.1,13.0,1
38.38,67.92,13.96,1
28.9,53.22,21.24,0
38.65,71.12,26.17,0
22.79,72.57,12.93,0
39.71,52.9,23.25,0
23.84,61.33,14.2,0
36.29,67.72,35.62,0
36.73,76.17,24.43,0
22.33,58.06,20.8,0
35.41,79.38,33.92,0
32.67,85.02,14.7,1
39.02,83.53,10.23,1
24.18,52.11,13.37,0
21.1,83.02,9.23,0
23.46,77.84,15.33,0
36.32,55.46,11.61,1
30.88,54.26,21.72,0
31.45,75.87,20.25,0
23.68,65.58,9.86,0
27.11,52.43,38.49,0
38.63,58.02,37.94,0
34.22,84.52,29.01,0
34.17,57.18,30.49,0
27.08,80.34,6.09,0
24.66,63.41,28.77,0
35.55,73.07,16.68,0
28.81,84.18,36.65,0
39.32,70.58,16.87,0
31.59,66.33,9.78,1
30.32,53.67,20.75,0
30.18,78.06,29.09,0
38.38,74.28,17.44,0
25.24,72.69,37.67,0
25.55,55.33,16.07,0
34.63,85.6,12.35,1
22.34,76.37,30.13,0
37.98,55.75,39.71,0
31.66,58.41,5.06,1
34.59,86.13,24.91,0
29.4,56.63,14.5,0
25.79,55.43,27.08,0
26.82,58.85,30.63,0
22.11,76.62,8.2,0
22.55,79.3,23.46,0
38.6,89.14,33.45,0
35.24,74.46,30.7,0
33.39,52.94,9.88,1
21.74,81.65,31.82,0
20.79,89.97,7.23,0
26.82,86.16,10.56,0
33.88,62.08,5.99,1
22.0,58.15,37.03,0
27.32,62.99,29.82,0
33.91,73.24,21.59,0
28.48,53.0,8.35,0
29.88,81.16,18.95,0
29.05,71.95,38.95,0
20.09,63.94,29.79,0
36.93,74.52,11.16,1
27.53,52.14,33.04,0
29.37,83.01,25.98,0
38.98,76.91,7.93,1
30.74,71.31,27.19,0
29.83,59.76,27.2,0
33.67,64.03,28.53,0
37.94,80.93,24.42,0
39.4,83.74,23.37,0
29.24,74.02,5.14,0
21.59,51.16,19.09,0
39.87,86.61,34.7,0
27.9,85.67,27.55,0
36.88,73.17,38.35,0
33.44,79.87,18.92,0
26.11,79.87,6.68,0
33.69,63.73,21.33,0
28.28,60.59,19.22,0
27.02,50.88,6.12,0
25.91,65.62,9.45,0
39.8,77.12,7.69,1
35.05,73.58,26.88,0
22.0,81.95,18.16,0
39.1,80.02,37.61,0
37.59,78.23,9.22,1
26.7,71.49,32.15,0
34.67,52.96,31.38,0
22.85,81.85,18.61,0
25.82,50.68,22.61,0
21.47,86.2,27.64,0
31.34,52.04,29.79,0
29.42,53.99,35.17,0
29.32,85.71,11.25,0
21.14,53.78,7.9,0
38.49,75.16,5.63,1
28.94,76.02,16.33,0
28.03,81.93,31.39,0
36.49,78.94,24.51,0
27.57,71.54,19.84,0
21.38,71.1,7.04,0
39.9,54.32,9.73,1
38.9,68.09,14.68,1
26.78,78.33,22.96,0
29.79,52.66,23.52,0
31.94,80.51,10.86,1
26.19,74.64,25.28,0
37.47,64.33,30.69,0
32.8,83.0,35.23,0
30.38,59.36,5.91,1
31.66,70.72,12.78,1
27.78,67.61,18.23,0
38.36,53.32,37.59,0
39.6,69.6,24.24,0
32.49,72.78,19.92,0
22.78,80.09,19.17,0
24.45,88.63,28.87,0
34.11,87.32,35.29,0
32.96,55.03,39.61,0
26.29,61.28,17.37,0
20.75,74.51,37.59,0
26.22,80.25,37.63,0
33.79,57.17,6.56,1
30.38,70.91,17.49,0
23.23,51.02,13.11,0
26.92,85.89,39.46,0
28.4,55.0,6.2,0
34.31,73.43,26.76,0
30.96,50.15,17.79,0
35.91,71.67,24.61,0
25.36,77.68,18.66,0
21.16,54.28,22.76,0
29.48,51.84,18.92,0
20.7,79.6,31.89,0
32.65,71.38,6.43,1
24.29,68.16,20.51,0
29.62,55.85,36.09,0
37.1,61.58,36.76,0
25.94,79.67,28.67,0
21.16,89.68,38.35,0
22.05,86.68,8.86,0
31.57,64.77,14.17,1
20.98,57.54,33.68,0
22.86,64.07,35.0,0
29.11,87.11,13.02,0
29.83,50.2,37.04,0
39.68,78.49,7.79,1
31.11,77.08,31.55,0
20.21,63.46,33.19,0
28.46,72.52,23.27,0
31.02,73.4,22.17,0
26.12,76.1,30.61,0
37.29,75.74,18.94,0
20.83,76.37,24.62,0
32.78,66.67,30.35,0
28.4,53.8,18.33,0
35.34,51.89,14.51,1
23.94,50.04,25.68,0
31.81,78.95,29.07,0
23.19,62.55,16.12,0
27.51,79.93,24.6,0
31.53,54.39,11.77,1
24.69,51.93,24.02,0
26.48,88.18,39.0,0
34.67,76.73,19.05,0
24.29,51.21,19.83,0
21.93,84.17,30.66,0
21.76,70.23,10.21,0
31.12,59.34,11.28,1
36.2,87.72,22.38,0
34.42,59.3,16.46,0
20.29,88.45,11.72,0
22.58,76.06,14.17,0
36.39,82.47,29.51,0
31.35,69.58,26.99,0
35.94,80.66,19.53,0
25.07,79.19,29.2,0
23.34,54.95,9.15,0
35.7,62.75,27.1,0
29.06,51.09,22.63,0
35.54,81.8,31.57,0
22.07,75.95,25.11,0
25.7,72.53,7.43,0
36.25,84.46,37.61,0
24.35,87.83,5.16,0
37.53,59.29,21.93,0
34.9,83.7,19.5,0
21.33,89.7,9.64,0
38.93,54.97,12.29,1
22.36,85.6,20.19,0
32.24,61.32,24.38,0
33.53,59.64,13.49,1
26.22,51.13,5.95,0
21.79,53.95,33.37,0
29.65,52.27,20.06,0
23.57,85.86,6.09,0
24.94,68.13,31.73,0
33.96,76.17,36.58,0
26.91,86.71,29.64,0
38.84,64.07,28.01,0
35.45,84.28,6.07,1
21.21,87.33,6.44,0
25.43,82.01,18.99,0
33.03,50.08,15.34,0
37.22,89.69,14.96,1
23.24,82.53,24.38,0
22.4,74.07,13.27,0
39.62,55.43,37.08,0
39.85,83.81,29.64,0
39.05,86.63,19.5,0
31.91,56.84,14.39,1
20.3,79.64,37.91,0
26.91,67.16,11.95,0
35.91,65.69,6.44,1
34.75,63.66,33.59,0
21.79,72.08,20.7,0
38.8,85.55,24.92,0
29.74,50.89,31.41,0
24.6,70.4,31.22,0
34.87,56.88,35.19,0
36.35,76.0,32.57,0
32.74,64.19,8.01,1
23.71,54.88,10.93,0
30.86,57.49,25.79,0
29.42,56.08,10.28,0
22.86,85.53,6.34,0
29.05,84.81,38.29,0
33.61,68.02,28.11,0
27.38,52.62,28.3,0
21.71,71.28,25.91,0
25.42,88.67,11.13,0
24.73,64.05,27.46,0
27.95,74.76,27.18,0
32.83,89.48,7.57,1
31.5,57.09,32.45,0
34.64,73.8,14.7,1
26.42,65.74,17.29,0
37.37,67.41,6.24,1
31.69,65.95,17.57,0
29.44,76.17,37.48,0
24.36,56.76,8.27,0
22.24,79.03,16.59,0
31.63,62.3,37.46,0
38.44,86.74,35.15,0
31.35,88.62,23.65,0
38.03,67.72,15.03,0
38.27,59.18,29.77,0
26.04,65.9,21.35,0
28.89,87.4,34.89,0
32.18,62.02,10.5,1
35.26,58.79,31.8,0
32.91,51.35,14.16,1
22.96,71.54,24.77,0
35.89,66.71,33.31,0
36.81,72.43,24.23,0
20.76,70.41,36.17,0
38.45,69.51,25.0,0
32.43,50.18,16.65,0
24.87,74.2,13.62,0
29.03,67.87,9.56,0
28.15,50.63,37.42,0
29.61,66.54,19.36,0
28.03,73.17,30.81,0
30.34,75.94,39.27,0
26.43,65.24,21.73,0
20.87,55.42,23.29,0
32.69,88.53,32.85,0
31.27,60.5,37.75,0
26.41,69.18,17.08,0
33.4,52.69,10.8,1
31.32,56.07,34.35,0
26.07,71.7,27.0,0
27.68,68.27,8.41,0
33.86,60.42,36.32,0
29.26,60.9,30.47,0
29.74,83.02,13.62,0
28.51,77.91,8.03,0
28.71,84.36,23.63,0
23.94,84.58,39.98,0
34.38,78.09,32.16,0
26.82,78.12,34.99,0
30.85,58.59,38.26,0
30.69,88.21,30.37,0
22.4,69.18,26.83,0
22.94,69.32,20.54,0
35.16,59.58,5.88,1
24.43,59.65,24.68,0
34.82,89.34,34.3,0
30.02,65.0,6.68,1
22.34,85.07,11.5,0
23.04,83.71,6.42,0
24.76,88.38,23.83,0
27.69,54.93,28.94,0
21.82,51.28,27.43,0
27.47,53.4,32.05,0
27.23,52.53,23.99,0
21.04,80.47,20.77,0
32.75,77.66,31.28,0
22.66,70.78,22.41,0
26.5,53.27,8.16,0
34.1,66.83,20.31,0
26.0,51.63,24.4,0
25.54,53.53,36.01,0
30.69,52.95,15.21,0
23.14,85.39,26.52,0
21.73,61.14,35.15,0
20.86,85.44,26.39,0
38.69,83.75,35.5,0
24.5,50.66,30.55,0
23.24,74.81,16.76,0
29.71,84.03,24.62,0
36.45,86.13,9.3,1
35.63,89.61,31.78,0
28.18,71.42,27.03,0
21.03,70.26,15.52,0
25.63,88.57,25.87,0
20.95,50.65,27.18,0
26.73,56.98,19.89,0
26.11,71.42,15.23,0
34.08,70.44,12.39,1
34.56,65.94,29.66,0
38.77,54.14,11.84,1
39.7,55.48,34.01,0
22.13,63.45,32.38,0
36.22,66.94,15.89,0
38.99,72.88,39.01,0
20.82,84.4,17.34,0
21.89,50.31,18.8,0
39.84,61.7,9.17,1
36.18,78.15,25.8,0
24.96,71.68,22.09,0
37.92,68.49,26.41,0
21.58,86.82,39.12,0
32.45,56.48,14.58,1
33.29,59.06,39.69,0
31.72,70.27,16.6,0
34.02,51.57,31.44,0
22.02,55.89,13.88,0
30.7,79.66,29.75,0
33.09,51.26,28.02,0
35.72,83.58,34.94,0
26.19,59.7,17.74,0
29.46,54.54,11.3,0
28.73,83.71,26.07,0
32.55,56.12,36.55,0
34.79,54.7,24.57,0
30.15,58.74,19.28,0
39.22,87.52,39.48,0
28.92,60.31,15.53,0
22.34,53.63,6.97,0
32.38,81.27,29.58,0
37.72,73.49,29.85,0
28.39,54.83,18.63,0
38.54,84.58,17.18,0
30.94,84.69,21.1,0
38.79,82.67,11.37,1
21.02,53.13,19.9,0
22.03,88.66,28.36,0
25.68,79.46,7.82,0
26.28,63.42,28.01,0
28.68,75.05,36.27,0
34.32,65.68,30.34,0
33.95,55.46,33.41,0
24.5,51.98,39.25,0
22.44,83.11,19.1,0
31.7,60.23,20.83,0
27.46,61.11,24.92,0
36.58,59.92,17.63,0
37.5,50.6,21.15,0
27.96,52.18,28.81,0
28.48,79.38,29.0,0
39.33,56.24,9.46,1
27.44,75.77,7.8,0
38.76,61.89,17.79,0
21.08,58.53,9.85,0
34.63,70.2,26.4,0
27.06,70.99,35.79,0
24.12,57.76,39.59,0
23.65,62.69,21.7,0
29.33,66.26,10.87,0
35.65,72.86,19.14,0
23.92,59.78,32.29,0
33.23,72.71,6.76,1
27.34,55.7,32.97,0
33.29,50.38,21.02,0
29.21,77.06,11.59,0
25.19,51.78,30.46,0
27.24,69.64,27.47,0
37.59,68.29,9.33,1
39.63,87.81,31.4,0
36.97,78.8,12.78,1
22.33,62.14,11.69,0
31.2,78.95,12.72,1
37.53,54.57,16.78,0
39.54,56.17,17.73,0
35.57,80.84,23.4,0
32.87,61.88,7.9,1
33.77,51.78,30.77,0
23.78,54.05,27.93,0
37.85,74.36,38.8,0
30.88,60.05,39.61,0
39.32,76.46,14.67,1
28.69,62.53,17.34,0
29.19,68.06,6.92,0
39.55,51.87,24.55,0
35.11,62.07,14.88,1
29.59,68.44,24.33,0
23.0,63.93,32.92,0
32.56,77.54,10.21,1
31.16,65.24,13.51,1
31.66,67.66,14.54,1
25.42,71.75,38.7,0
26.07,61.36,28.11,0
26.1,65.99,21.48,0
22.36,77.92,39.85,0
36.65,89.41,30.91,0
20.88,74.53,30.85,0
24.73,87.53,35.89,0
32.92,73.59,31.7,0
22.23,88.22,18.08,0
27.74,53.36,26.02,0
28.78,80.56,20.03,0
23.57,60.36,12.21,0
21.68,60.97,12.7,0
21.29,75.1,27.06,0
36.6,74.46,36.0,0
34.33,55.66,36.91,0
36.34,82.16,20.66,0
37.47,79.26,9.67,1
38.13,60.59,22.4,0
21.01,85.79,22.07,0
22.96,51.56,28.1,0
21.51,88.01,9.2,0
35.67,75.65,13.64,1
33.6,82.61,24.71,0
37.87,75.23,20.05,0
28.17,55.24,16.83,0
28.37,51.75,26.41,0
34.46,77.87,32.58,0
25.24,74.96,32.02,0
25.32,58.81,24.35,0
34.66,74.7,23.29,0
37.49,74.18,38.59,0
27.54,65.39,28.27,0
24.17,55.67,26.29,0
37.08,81.09,29.93,0
26.5,71.11,6.44,0
26.26,71.44,8.78,0
37.27,84.0,39.86,0
34.04,86.0,9.85,1
39.13,64.74,6.44,1
34.86,73.42,25.54,0
33.2,73.57,25.73,0
22.06,89.04,26.86,0
21.46,76.18,14.44,0
29.27,66.7,23.02,0
37.24,62.05,21.38,0
36.47,86.29,16.22,0
33.3,72.14,26.38,0
37.43,69.62,39.39,0
32.78,86.73,9.45,1
34.42,73.85,31.76,0
23.18,80.91,22.8,0
34.56,75.16,20.69,0
34.84,89.58,38.03,0
32.06,74.29,35.93,0
21.76,58.64,20.88,0
34.0,84.98,17.61,0
35.05,61.37,17.87,0
38.6,77.43,10.98,1
28.54,63.69,37.82,0
36.89,86.17,29.6,0
24.33,76.79,38.21,0
22.61,72.0,27.05,0
29.97,80.05,20.81,0
24.75,74.13,8.58,0
31.59,79.22,13.58,1
25.56,64.3,18.75,0
30.07,54.22,31.65,0
21.19,69.55,34.87,0
23.68,69.42,26.31,0
30.73,78.72,23.28,0
27.61,89.92,8.47,0
24.26,86.9,24.36,0
36.65,78.37,24.0,0
28.41,66.7,38.97,0
36.59,89.89,39.24,0
27.98,83.48,5.46,0
24.96,54.19,15.66,0
36.11,61.04,16.55,0
30.17,60.02,13.7,1
31.45,79.5,25.31,0
32.89,84.11,26.61,0
25.35,80.09,13.06,0
24.5,50.04,26.44,0
30.37,61.8,39.14,0
37.77,62.95,25.51,0
31.52,54.57,37.9,0
34.78,86.74,12.75,1
22.47,76.97,26.57,0
37.17,73.27,14.95,1
36.54,69.83,14.0,1
21.14,64.26,20.37,0
22.1,75.63,34.28,0
37.54,85.11,11.67,1
24.42,82.8,12.84,0
24.55,86.04,27.96,0
27.83,77.42,9.52,0
33.42,54.69,36.05,0
22.2,75.04,28.18,0
37.05,85.12,16.7,0
20.4,73.77,12.01,0
28.15,52.38,11.46,0
33.16,72.5,7.81,1
30.33,56.91,28.05,0
26.38,81.22,8.08,0
32.07,82.19,37.08,0
23.69,63.17,12.75,0
21.09,75.72,11.01,0
24.42,66.59,27.34,0
21.75,53.84,32.74,0
26.57,75.63,23.43,0
39.4,69.01,27.76,0
38.62,52.93,31.3,0
29.6,81.51,37.96,0
24.79,51.58,13.24,0
20.49,80.46,15.07,0
24.14,77.99,26.11,0
36.37,58.18,19.78,0
29.28,68.13,11.61,0
23.3,64.39,26.68,0
26.47,60.09,13.66,0
32.65,53.39,14.95,1
34.71,50.18,34.82,0
33.96,69.61,15.43,0
35.9,74.84,34.08,0
23.34,64.1,12.7,0
22.23,73.26,25.94,0
36.34,72.84,29.05,0
28.43,58.58,30.44,0
32.82,51.65,8.06,1
38.3,73.87,32.22,0
38.05,69.21,17.54,0
22.8,81.99,38.16,0
20.57,68.94,21.68,0
39.36,87.95,12.5,1
22.13,76.39,28.67,0
38.17,52.74,9.93,1
24.39,51.95,32.59,0
35.85,61.34,11.02,1
35.6,61.71,32.26,0
33.54,80.23,38.05,0
23.11,57.31,24.97,0
28.96,69.95,16.13,0
25.56,54.77,13.61,0
27.51,70.55,18.36,0
37.8,51.94,29.04,0
37.31,81.09,7.46,1
22.82,75.39,22.86,0
38.94,82.84,9.81,1
23.79,66.1,19.26,0
22.64,86.9,10.96,0
38.98,68.49,29.36,0
29.95,81.49,21.23,0
26.57,50.64,26.03,0
39.79,85.6,21.42,0
21.22,62.11,14.02,0
33.49,80.39,39.72,0
30.15,87.54,36.86,0
35.98,61.18,35.43,0
26.79,86.85,16.47,0
23.13,57.59,23.6,0
30.84,59.56,6.45,1
26.7,54.23,17.99,0
22.68,66.14,10.22,0
32.37,71.51,31.35,0
23.82,54.11,12.21,0
29.58,66.06,24.78,0
31.15,72.61,12.23,1
25.69,72.39,11.52,0
39.81,54.5,10.0,1
35.39,84.17,14.42,1
21.63,53.01,37.9,0
21.43,82.2,23.51,0
26.89,78.64,6.73,0
25.83,81.86,28.53,0
25.88,72.14,36.97,0
22.8,81.03,19.22,0
31.47,67.85,20.72,0
39.88,66.89,31.07,0
31.18,59.42,13.84,1
21.45,90.0,17.63,0
31.11,74.74,16.38,0
27.34,56.26,12.64,0
29.18,86.01,18.26,0
29.44,76.71,12.2,0
20.84,69.08,13.58,0
23.7,70.2,13.34,0
35.21,59.07,31.16,0
29.88,79.21,32.68,0
30.7,64.61,37.65,0
36.25,52.1,10.14,1
39.24,55.44,37.21,0
39.19,72.32,16.46,0
37.05,59.68,29.55,0
20.66,82.08,35.75,0
39.84,52.46,10.46,1
39.17,88.71,23.02,0
22.77,62.28,39.49,0
26.44,79.5,10.57,0
36.09,70.92,15.0,0
35.08,88.32,29.19,0
35.46,81.37,32.08,0
21.23,60.78,39.97,0
28.7,58.27,7.35,0
30.85,65.72,8.75,1
20.75,69.17,17.81,0
36.42,76.76,32.17,0
38.11,74.26,26.02,0
36.5,75.93,12.83,1
30.33,65.84,25.72,0
23.96,80.0,28.6,0
25.13,71.9,5.26,0
23.43,79.1,7.55,0
25.3,64.01,14.8,0
33.39,87.32,23.68,0
29.8,60.87,7.34,0
20.61,82.01,34.6,0
36.65,57.02,7.15,1
38.72,84.12,34.31,0
26.29,79.68,23.94,0
26.72,60.95,29.37,0
37.34,83.31,12.67,1
34.3,57.98,12.18,1
26.9,78.04,22.63,0
33.4,75.82,34.91,0
34.74,64.7,39.06,0
28.04,50.48,32.25,0
22.12,77.34,35.78,0
38.31,87.72,33.14,0
30.11,73.5,29.88,0
38.27,60.25,34.26,0
36.25,62.23,8.67,1
33.9,85.82,36.83,0
27.05,77.59,13.6,0
32.05,72.82,27.06,0
32.93,56.35,13.0,1
35.9,68.21,18.19,0
27.27,84.39,22.53,0
31.27,70.99,17.64,0
30.36,68.5,39.87,0
24.65,62.8,12.68,0
29.54,70.81,7.95,0
39.49,85.85,11.6,1
35.31,82.35,33.96,0
36.34,52.57,16.08,0
22.31,62.65,34.75,0
39.55,80.1,37.05,0
24.28,78.06,17.31,0
27.63,77.16,35.76,0
33.08,89.13,37.27,0
32.08,78.36,36.52,0
35.79,86.89,17.0,0
37.87,79.48,17.59,0
32.01,77.48,29.93,0
21.82,63.15,8.14,0
28.86,79.53,9.52,0
35.17,59.01,15.17,0
20.19,54.02,16.86,0
26.77,79.31,36.11,0
31.15,85.8,13.04,1
20.09,85.07,33.99,0
28.61,70.38,12.16,0
24.72,57.32,18.64,0
24.44,87.11,39.95,0
39.12,72.74,31.53,0
20.56,67.75,11.14,0
29.76,85.32,27.28,0
36.68,54.22,39.74,0
28.74,70.02,33.79,0
21.17,78.5,7.07,0
24.6,57.75,37.89,0
24.67,84.09,14.6,0
35.78,64.38,11.32,1
38.41,66.32,11.23,1
31.0,64.08,10.2,1
38.26,77.92,35.93,0
31.25,77.21,15.49,0
24.75,75.92,12.98,0
23.85,74.63,35.26,0
36.51,51.5,19.8,0
27.89,79.41,25.59,0
28.83,70.65,33.11,0
23.16,55.38,8.57,0
28.06,82.7,37.59,0
35.12,63.61,37.98,0
27.76,65.97,34.59,0
38.7,70.36,30.37,0
27.81,79.42,32.39,0
32.5,55.67,19.68,0
37.06,66.72,37.35,0
27.98,72.38,16.4,0
22.57,73.47,29.63,0
30.43,88.56,18.46,0
37.52,57.05,10.06,1
35.15,64.78,33.63,0
30.0,70.38,21.63,0
27.88,80.04,33.36,0
31.87,51.12,16.07,0
20.94,75.35,20.24,0
35.17,51.66,28.83,0
37.47,60.95,26.23,0
25.01,67.85,20.8,0
38.15,77.47,34.69,0
20.08,50.53,23.77,0
24.11,89.02,13.85,0
27.17,83.17,28.44,0
29.83,89.87,5.07,0
26.34,63.46,24.29,0
23.29,63.97,34.94,0
28.48,68.72,21.66,0
36.32,52.33,15.3,0
21.07,72.53,32.57,0
22.79,81.23,22.27,0
37.87,77.54,11.36,1
29.75,78.18,16.16,0
38.11,63.04,30.26,0
27.94,53.27,39.51,0
31.35,54.1,26.29,0
34.04,82.5,23.53,0
34.09,70.53,7.15,1
26.99,57.05,31.76,0
22.92,75.27,6.45,0
26.39,78.45,33.45,0
34.14,85.83,33.98,0
24.81,68.28,29.82,0
27.28,62.54,8.63,0
33.5,70.82,28.21,0
22.19,74.25,39.04,0
20.55,64.97,35.1,0
33.2,87.35,37.11,0
24.17,59.13,19.2,0
26.93,83.78,7.97,0
26.51,57.15,24.56,0
22.96,53.93,10.7,0
32.73,70.73,17.58,0
32.09,89.52,17.78,0
26.87,77.25,8.74,0
24.44,81.25,17.48,0
33.74,62.91,16.76,0
23.07,88.16,30.42,0
23.94,69.69,14.39,0
33.98,89.44,15.11,0
27.8,88.17,27.0,0
21.89,81.7,25.12,0
32.97,51.23,29.2,0
32.2,83.78,22.49,0
32.8,71.99,37.01,0
26.15,62.03,19.98,0
33.89,63.89,36.99,0
31.71,75.68,28.09,0
24.34,74.86,12.42,0
24.47,63.39,15.97,0
35.6,74.42,19.08,0
38.99,55.01,8.84,1
24.77,79.47,26.78,0
38.01,54.84,19.14,0
37.68,81.46,28.18,0
28.85,88.74,29.17,0
20.13,51.66,30.77,0
37.09,77.84,35.4,0
36.53,69.82,24.82,0
31.82,81.95,5.17,1
39.63,89.54,17.64,0
39.22,82.66,13.02,1
39.57,87.5,18.36,0
30.08,50.55,9.47,1
27.97,85.89,17.66,0
24.37,62.22,22.54,0
38.86,74.55,32.59,0
22.76,77.23,27.62,0
23.77,80.45,15.38,0
36.9,50.87,5.14,1
23.05,74.05,27.05,0
20.89,52.98,24.87,0
26.13,81.5,37.41,0
28.02,50.83,24.62,0
38.01,54.04,34.8,0
30.93,61.37,37.73,0
37.28,69.5,38.13,0
33.21,67.04,5.8,1
23.53,67.83,17.73,0
39.81,67.14,11.54,1
24.1,70.54,20.28,0
33.28,73.07,39.57,0
37.19,75.69,20.4,0
25.56,50.76,9.86,0
20.91,82.54,23.16,0
35.47,83.14,26.7,0
23.32,54.12,9.62,0
25.32,64.04,16.09,0
35.05,73.55,17.02,0
20.09,58.27,24.78,0
