temperature,humidity,soilMoisture,light,rain,co2,irrigation_needed
38.13,87.54,6.29,776.24,0,406.91,1
33.45,88.99,10.94,300.13,0,339.77,1
33.82,55.49,5.28,735.97,0,322.78,1
36.92,89.4,11.47,732.7,0,421.34,1
35.03,56.83,8.25,532.59,0,421.18,1
35.26,57.07,11.69,662.83,0,481.53,1
39.26,68.26,11.57,651.59,0,380.05,1
35.64,85.99,7.16,681.99,0,483.09,1
35.74,60.35,7.79,570.0,0,428.69,1
36.04,84.67,11.99,677.53,0,479.21,1
39.49,87.5,10.3,603.1,0,336.38,1
36.48,86.94,9.89,232.89,0,326.37,1
37.15,87.69,8.48,328.73,0,398.56,1
37.72,52.3,6.56,362.24,0,406.72,1
36.9,55.38,6.77,696.4,0,323.1,1
35.66,64.01,10.56,335.52,0,348.71,1
34.62,76.59,10.47,591.47,0,417.32,1
39.37,65.44,6.99,356.66,0,367.07,1
36.3,75.98,11.9,687.51,0,307.57,1
35.68,58.22,8.63,306.86,0,415.99,1
38.4,58.15,8.92,451.08,0,339.98,1
38.6,59.75,11.85,447.02,0,305.8,1
32.09,63.48,10.2,638.8,0,311.78,1
32.18,76.59,8.55,487.67,0,432.55,1
32.89,61.72,9.47,707.22,0,388.28,1
35.69,89.01,8.31,749.53,0,354.11,1
36.93,73.15,10.94,485.11,0,373.25,1
38.41,78.76,5.15,511.65,0,331.19,1
33.67,75.04,8.2,611.65,0,372.97,1
38.4,64.87,8.22,752.17,0,419.13,1
39.95,84.38,9.76,443.4,0,461.57,1
34.38,89.85,9.07,304.85,0,309.31,1
33.9,76.16,8.82,700.52,0,390.65,1
39.53,60.52,6.76,609.92,0,367.98,1
35.38,54.7,11.96,508.3,0,322.3,1
39.07,51.05,7.74,700.1,0,320.8,1
34.4,82.21,9.55,505.05,0,319.96,1
36.17,67.43,11.47,495.09,0,491.36,1
35.95,71.62,6.37,675.74,0,445.8,1
36.53,64.69,8.25,450.82,0,402.41,1
36.6,87.08,6.62,607.82,0,303.81,1
35.59,74.19,11.34,566.43,0,301.99,1
35.16,82.35,8.26,564.68,0,306.71,1
38.21,89.82,9.92,400.68,0,305.34,1
33.61,83.23,6.64,518.78,0,490.18,1
36.11,59.79,7.93,740.24,0,483.6,1
39.49,50.81,8.61,524.79,0,350.68,1
39.7,51.29,8.91,545.57,0,461.27,1
36.97,84.41,11.76,739.85,0,342.54,1
38.14,89.57,9.11,436.83,0,344.43,1
37.61,50.51,11.6,348.24,0,373.97,1
36.38,69.74,11.22,406.63,0,332.35,1
36.25,50.73,11.82,763.02,0,306.38,1
34.21,52.94,5.39,285.8,0,467.8,1
33.57,55.28,8.96,584.07,0,340.6,1
36.35,78.48,11.89,536.1,0,436.47,1
33.04,74.42,10.74,384.16,0,330.07,1
35.25,56.84,9.04,591.03,0,318.5,1
32.87,61.19,9.38,232.75,0,371.15,1
32.39,86.24,8.73,798.17,0,418.34,1
32.08,75.48,10.52,233.62,0,418.74,1
36.32,87.81,6.77,775.97,0,340.83,1
35.62,55.46,9.67,368.19,0,460.25,1
33.86,86.42,6.18,276.96,0,442.83,1
38.96,51.55,8.53,290.05,0,489.96,1
35.69,74.5,6.65,296.75,0,367.97,1
34.53,84.63,8.63,470.87,0,395.11,1
33.08,86.66,6.95,796.0,0,364.39,1
35.49,74.79,9.86,242.59,0,478.21,1
32.56,76.41,7.98,722.92,0,349.17,1
37.16,76.51,5.19,526.65,0,467.14,1
37.37,60.67,5.84,435.43,0,316.16,1
34.28,82.86,11.08,563.83,0,321.25,1
32.94,83.6,6.6,598.07,0,435.25,1
33.67,83.07,5.82,563.38,0,419.46,1
36.22,58.7,8.54,791.8,0,313.27,1
37.1,86.61,10.64,209.07,0,460.06,1
36.77,54.02,6.25,309.55,0,307.42,1
34.97,62.59,9.91,280.6,0,440.07,1
33.38,76.66,5.68,471.82,0,422.71,1
38.98,60.25,10.06,776.45,0,390.82,1
35.55,85.1,10.43,616.24,0,370.05,1
34.91,88.68,10.38,223.39,0,326.52,1
34.18,82.92,11.66,768.57,0,448.15,1
35.38,50.47,11.48,328.33,0,481.53,1
34.59,50.04,10.23,377.99,0,432.99,1
36.11,86.27,8.88,409.68,0,365.27,1
39.7,54.29,10.0,407.63,0,446.53,1
34.56,86.72,6.7,344.16,0,456.05,1
37.38,71.58,9.16,351.05,0,328.18,1
33.99,63.0,10.46,236.63,0,355.07,1
34.79,81.67,5.4,673.2,0,418.55,1
38.09,75.12,11.79,709.49,0,436.53,1
36.92,52.09,5.16,460.38,0,417.01,1
39.97,57.23,8.62,217.57,0,492.43,1
35.8,72.73,9.62,237.62,0,331.85,1
39.98,50.37,11.89,462.46,0,488.47,1
36.29,66.09,8.3,408.3,0,429.75,1
38.46,53.63,8.01,495.92,0,470.49,1
33.35,52.3,8.83,769.78,0,409.37,1
33.45,80.18,5.48,748.86,0,392.12,1
37.57,83.55,10.09,619.56,0,422.61,1
33.49,66.95,11.52,354.64,0,348.33,1
38.62,87.8,10.13,564.05,0,358.19,1
36.48,86.78,8.45,346.62,0,393.51,1
35.62,89.87,10.13,711.58,0,491.97,1
38.66,80.29,8.51,472.04,0,301.01,1
35.01,51.29,6.22,703.61,0,488.53,1
39.47,69.18,6.81,304.78,0,353.05,1
35.64,82.22,11.87,407.89,0,411.32,1
34.35,88.92,6.64,584.06,0,464.85,1
36.59,52.24,6.34,360.49,0,320.19,1
38.4,58.83,8.52,535.61,0,439.46,1
38.77,60.95,5.55,698.02,0,465.15,1
33.83,57.02,7.71,275.55,0,407.75,1
38.0,75.65,11.03,298.77,0,332.06,1
37.98,58.98,10.91,265.13,0,417.67,1
33.95,73.31,8.14,533.01,0,474.05,1
37.24,51.95,6.69,592.85,0,438.31,1
32.46,85.62,6.88,371.87,0,313.18,1
34.85,71.6,8.76,293.27,0,489.71,1
39.5,83.63,10.13,248.8,0,387.61,1
36.19,71.67,11.81,335.03,0,442.64,1
33.44,85.17,5.69,222.48,0,412.97,1
34.23,64.45,5.16,359.47,0,488.78,1
38.44,87.71,8.76,512.7,0,384.06,1
34.6,82.38,7.75,544.52,0,486.09,1
33.89,88.03,5.32,500.5,0,390.38,1
37.98,63.62,5.92,544.6,0,441.58,1
33.5,63.97,10.59,367.38,0,412.27,1
34.17,62.99,10.98,779.42,0,495.05,1
36.56,79.95,9.85,794.75,0,468.48,1
36.04,55.45,10.66,790.69,0,341.66,1
33.24,80.33,9.32,629.46,0,377.19,1
39.24,61.49,7.8,362.15,0,332.61,1
39.6,82.15,9.73,498.91,0,415.23,1
33.62,55.74,7.91,491.11,0,306.45,1
35.95,86.41,5.56,657.3,0,354.53,1
32.88,81.76,11.1,687.09,0,423.77,1
36.44,74.33,9.33,617.21,0,340.65,1
33.15,53.12,8.34,662.19,0,331.86,1
36.0,53.11,7.94,206.35,0,319.94,1
37.93,56.26,6.11,447.63,0,374.42,1
39.41,59.94,5.69,211.85,0,462.19,1
35.65,65.45,6.62,418.72,0,426.44,1
36.99,78.71,6.47,543.74,0,462.12,1
35.79,81.29,11.59,672.53,0,413.29,1
34.75,60.36,7.56,643.66,0,475.22,1
32.51,50.72,6.11,701.42,0,482.86,1
33.39,77.03,8.1,769.58,0,451.68,1
33.16,82.92,11.26,796.24,0,459.5,1
35.21,65.1,5.27,279.88,0,372.92,1
33.43,59.16,10.07,232.91,0,490.84,1
37.39,58.62,10.4,586.48,0,404.14,1
32.32,53.28,11.52,517.21,0,397.77,1
39.52,73.67,9.58,325.62,0,475.36,1
33.52,70.56,10.57,501.06,0,364.15,1
35.2,80.82,10.95,786.45,0,372.27,1
38.69,58.63,5.09,514.16,0,475.91,1
34.31,65.81,5.22,554.08,0,397.13,1
39.57,61.8,8.63,477.91,0,459.75,1
38.89,75.35,5.63,661.82,0,325.45,1
37.35,74.5,7.93,545.68,0,365.4,1
34.15,62.25,10.49,504.21,0,380.53,1
35.07,77.01,11.76,319.39,0,420.15,1
39.1,55.49,7.18,654.64,0,414.21,1
38.14,78.91,6.87,248.61,0,450.74,1
35.91,77.24,8.25,716.78,0,452.91,1
38.15,87.29,6.58,288.25,0,371.91,1
39.72,86.43,8.23,771.02,0,370.31,1
36.37,83.16,9.15,755.36,0,395.83,1
32.32,51.81,11.11,606.31,0,326.47,1
36.66,72.07,10.31,568.17,0,341.46,1
32.44,88.41,7.5,453.38,0,440.59,1
32.55,68.03,8.59,393.96,0,492.26,1
32.4,67.11,11.65,760.66,0,399.16,1
34.5,58.87,7.29,527.51,0,386.53,1
34.0,72.17,10.71,435.56,0,479.59,1
39.44,83.86,11.46,776.08,0,378.18,1
33.97,60.13,10.81,783.97,0,474.91,1
38.01,53.38,9.96,313.66,0,303.91,1
38.62,50.17,6.92,674.47,0,336.76,1
34.73,78.09,7.17,799.93,0,412.65,1
34.7,87.41,10.96,368.78,0,396.62,1
39.17,76.46,6.48,282.15,0,347.77,1
38.92,73.56,7.3,514.64,0,415.67,1
36.85,51.1,9.24,499.72,0,462.81,1
35.21,72.45,10.74,234.56,0,479.85,1
35.65,78.99,9.01,340.38,0,483.9,1
34.1,85.27,7.79,297.83,0,349.04,1
32.06,84.5,6.63,338.7,0,440.03,1
33.35,76.74,7.2,735.97,0,457.13,1
34.89,56.43,10.48,716.97,0,427.88,1
35.66,77.47,11.28,692.4,0,442.44,1
38.03,71.35,9.34,222.85,0,433.62,1
33.37,53.66,11.18,344.83,0,491.92,1
36.68,58.82,5.65,219.82,0,449.24,1
35.05,70.45,6.09,589.65,0,330.1,1
34.36,71.31,10.79,556.9,0,469.16,1
32.21,60.3,11.15,250.33,0,374.4,1
33.95,69.35,7.9,795.82,0,472.26,1
32.77,53.66,10.04,217.81,0,447.18,1
35.71,82.0,7.87,326.92,0,387.36,1
36.6,77.6,5.79,213.82,0,372.14,1
36.07,57.54,6.92,744.23,0,340.04,1
37.4,72.69,7.0,774.34,0,427.71,1
37.85,50.11,5.22,409.52,0,416.84,1
33.46,83.49,6.85,266.09,0,410.18,1
37.91,84.86,6.82,521.37,0,428.59,1
34.66,68.17,7.98,577.27,0,389.54,1
36.11,82.62,10.06,791.08,0,421.77,1
38.56,63.77,11.61,549.89,0,449.08,1
34.86,52.31,11.75,236.58,0,468.56,1
35.26,53.96,8.91,230.69,0,461.04,1
38.13,62.97,7.96,780.39,0,308.77,1
36.48,77.03,10.47,631.94,0,318.53,1
36.98,82.92,5.1,492.89,0,475.59,1
32.54,79.04,8.28,223.37,0,471.41,1
38.11,76.91,10.43,320.33,0,422.36,1
35.46,81.06,10.57,220.62,0,487.44,1
36.9,87.31,6.23,233.64,0,409.09,1
39.62,83.97,5.73,459.66,0,434.8,1
32.86,52.65,10.69,284.62,0,345.37,1
37.94,56.13,5.6,706.59,0,408.31,1
36.22,83.68,6.44,735.63,0,486.23,1
38.68,74.92,8.92,773.83,0,333.16,1
33.76,75.32,10.57,724.89,0,421.55,1
36.87,53.43,5.42,252.86,0,495.14,1
32.38,56.35,9.89,276.18,0,379.96,1
36.25,74.27,5.42,465.31,0,424.74,1
33.85,64.36,10.86,692.8,0,425.28,1
33.33,61.71,10.7,353.12,0,462.56,1
39.84,88.92,8.6,517.29,0,429.27,1
32.36,88.21,6.88,208.49,0,462.32,1
32.79,76.23,8.48,334.77,0,465.01,1
37.62,73.68,11.54,295.45,0,305.25,1
38.41,58.51,11.65,241.31,0,376.68,1
34.18,58.16,9.9,283.2,0,421.01,1
33.34,82.77,7.31,285.8,0,393.33,1
33.11,79.45,8.76,591.43,0,486.44,1
37.68,50.2,11.31,705.34,0,427.49,1
37.47,50.45,7.93,527.03,0,349.92,1
36.78,70.48,5.2,273.3,0,359.21,1
38.92,52.89,8.95,217.21,0,440.47,1
38.57,69.42,5.94,588.84,0,416.95,1
35.0,56.21,5.64,745.82,0,361.57,1
36.88,79.91,8.69,382.0,0,436.18,1
36.99,71.18,5.16,671.13,0,315.28,1
33.68,77.22,8.44,209.19,0,481.01,1
39.17,69.68,9.56,237.35,0,396.79,1
33.45,62.42,7.11,361.91,0,351.91,1
39.0,66.88,9.52,213.56,0,370.93,1
37.79,54.58,9.34,446.54,0,449.35,1
37.74,82.59,11.8,253.78,0,412.3,1
32.14,59.27,10.19,255.38,0,371.12,1
36.74,61.83,6.52,625.96,0,404.59,1
33.18,55.05,9.98,618.52,0,402.86,1
34.59,86.01,10.82,614.03,0,453.59,1
39.61,79.53,11.12,633.97,0,465.71,1
38.15,82.69,5.52,729.44,0,352.55,1
37.63,83.53,6.38,547.99,0,358.38,1
34.39,89.8,5.28,344.9,0,458.13,1
33.36,55.3,11.45,690.16,0,488.69,1
39.56,76.13,5.53,757.68,0,442.91,1
37.85,87.28,7.37,607.39,0,480.15,1
35.53,72.44,9.32,271.94,0,476.08,1
37.31,53.45,7.46,244.71,0,307.32,1
34.2,79.73,8.99,565.24,0,489.48,1
33.06,88.49,9.42,218.53,0,490.28,1
34.45,51.98,10.88,342.96,0,423.61,1
34.48,74.24,7.99,336.88,0,438.9,1
34.08,77.89,5.79,404.39,0,326.82,1
36.65,65.36,9.52,395.93,0,385.19,1
38.72,78.87,8.27,461.03,0,343.71,1
33.79,71.1,10.07,331.31,0,465.3,1
38.76,78.17,7.0,463.4,0,475.82,1
34.99,83.17,5.54,701.12,0,476.86,1
34.89,50.62,7.68,493.03,0,370.79,1
32.5,89.45,11.22,494.09,0,424.28,1
38.28,75.53,5.47,639.73,0,430.96,1
33.87,74.72,7.04,263.87,0,423.93,1
33.48,85.5,9.15,369.02,0,475.22,1
35.55,57.75,9.42,685.18,0,497.24,1
35.26,78.47,5.38,558.79,0,352.01,1
38.47,86.84,7.35,246.83,0,491.24,1
33.23,85.07,8.76,645.49,0,341.44,1
33.43,70.46,8.32,754.14,0,445.42,1
33.51,71.43,10.09,590.19,0,364.35,1
38.54,78.75,5.75,324.87,0,342.52,1
39.02,72.73,8.85,683.6,0,340.13,1
35.09,64.63,5.21,446.22,0,439.14,1
39.92,75.6,5.49,375.58,0,403.69,1
35.89,64.08,10.07,454.8,0,476.12,1
33.9,54.73,10.27,206.38,0,430.37,1
32.94,63.07,10.32,602.79,0,456.78,1
38.15,52.84,6.81,630.43,0,379.85,1
36.84,56.54,8.49,601.76,0,436.21,1
33.26,57.67,11.27,564.44,0,499.57,1
37.01,58.21,5.57,709.48,0,331.3,1
37.42,79.86,6.98,717.76,0,332.6,1
33.6,50.65,10.95,275.67,0,471.74,1
36.18,87.98,7.66,287.11,0,342.54,1
35.67,57.81,10.67,396.02,0,437.32,1
39.95,85.63,11.75,794.42,0,313.1,1
36.28,55.52,6.53,713.29,0,389.06,1
35.37,63.95,8.3,317.36,0,428.05,1
32.69,50.92,11.21,606.33,0,416.46,1
32.35,53.48,8.07,376.94,0,441.31,1
39.35,62.88,10.42,276.88,0,398.57,1
38.15,69.67,9.42,472.22,0,319.25,1
37.8,77.32,10.64,796.85,0,417.8,1
37.9,81.67,5.53,226.57,0,469.96,1
39.8,53.39,9.34,732.02,0,422.71,1
33.58,84.13,10.63,621.39,0,319.4,1
36.4,85.57,10.29,500.47,0,398.27,1
34.74,80.31,11.92,258.49,0,381.53,1
38.31,65.48,5.12,445.18,0,419.93,1
37.58,82.47,11.73,382.49,0,436.34,1
34.6,67.0,9.31,451.4,0,408.66,1
35.01,78.31,6.5,502.63,0,344.9,1
35.53,50.18,10.18,274.87,0,385.24,1
36.78,57.34,11.12,545.34,0,359.51,1
33.33,75.45,11.0,275.52,0,486.64,1
37.54,62.48,10.71,578.58,0,494.31,1
39.5,58.54,10.78,275.01,0,405.41,1
36.37,73.59,7.33,213.48,0,488.88,1
35.14,73.14,9.82,379.58,0,350.02,1
33.62,83.85,5.54,464.84,0,465.42,1
38.08,83.63,9.84,456.44,0,397.63,1
33.37,56.58,9.98,635.26,0,437.31,1
36.05,59.71,6.29,388.94,0,490.01,1
37.29,89.82,7.67,567.25,0,483.68,1
32.12,58.53,5.22,646.73,0,324.85,1
32.01,68.02,5.38,791.35,0,359.3,1
38.11,64.89,10.76,645.73,0,454.36,1
37.85,79.08,5.32,442.79,0,358.35,1
33.7,55.44,10.58,664.85,0,473.68,1
37.67,52.31,11.22,472.5,0,362.7,1
33.7,73.3,7.96,758.12,0,425.82,1
36.96,52.93,7.32,588.22,0,473.06,1
34.66,68.78,7.46,586.75,0,380.27,1
36.73,71.73,8.93,337.9,0,438.93,1
38.67,77.43,11.86,680.9,0,357.05,1
38.31,89.09,8.19,695.68,0,467.59,1
33.61,73.92,11.55,598.96,0,430.11,1
34.22,51.53,10.6,294.68,0,436.79,1
33.22,72.71,11.61,399.1,0,307.88,1
34.18,88.83,10.09,394.95,0,325.1,1
32.14,78.35,10.99,552.83,0,301.24,1
37.71,69.95,9.86,513.6,0,351.95,1
37.41,58.19,9.44,650.7,0,441.44,1
38.3,57.5,5.02,519.55,0,317.14,1
36.0,53.97,6.95,505.92,0,445.82,1
37.88,86.22,6.16,397.31,0,398.65,1
33.19,58.06,7.29,777.21,0,438.52,1
34.95,76.65,11.0,540.15,0,348.04,1
36.45,84.88,5.45,521.83,0,392.19,1
33.36,86.37,8.45,523.43,0,400.33,1
37.62,76.14,5.9,318.26,0,372.49,1
32.3,83.71,5.0,740.06,0,345.64,1
36.49,80.2,9.01,749.11,0,462.43,1
33.03,76.17,9.3,300.83,0,388.75,1
39.5,52.83,5.21,576.02,0,394.47,1
36.85,77.19,8.02,277.76,0,382.17,1
36.34,73.18,11.15,596.57,0,336.81,1
36.22,57.7,9.94,741.28,0,451.75,1
35.13,74.04,11.79,479.01,0,319.63,1
38.47,66.43,11.92,732.3,0,390.9,1
37.81,78.7,6.93,523.62,0,390.9,1
34.33,58.85,5.93,298.88,0,349.23,1
33.53,73.87,7.62,515.49,0,484.58,1
36.21,69.41,8.13,648.54,0,468.44,1
34.66,82.72,11.86,443.94,0,433.67,1
39.02,66.68,8.18,236.94,0,394.8,1
38.27,69.55,11.56,416.06,0,311.98,1
39.35,85.48,9.67,215.73,0,420.41,1
38.41,57.0,6.28,594.77,0,401.25,1
32.4,73.1,11.66,618.12,0,446.18,1
32.5,56.25,8.25,793.04,0,365.58,1
33.72,66.41,9.38,575.5,0,464.74,1
37.53,70.2,8.98,641.03,0,457.36,1
37.51,52.9,9.73,503.45,0,484.48,1
39.28,86.6,9.06,471.37,0,466.07,1
38.52,83.95,7.52,632.7,0,317.49,1
21.3,75.39,34.2,551.3,1,481.43,0
20.28,77.9,30.12,654.81,1,444.13,0
36.16,83.36,36.57,799.49,0,350.4,0
26.19,50.05,23.87,662.68,0,321.54,0
33.82,50.53,35.92,337.14,0,430.19,0
24.69,74.3,22.32,305.76,0,376.93,0
33.2,50.9,15.29,505.02,0,362.81,0
23.07,55.77,28.75,453.32,1,394.48,0
31.29,85.68,31.83,560.46,0,434.48,0
29.57,69.89,16.65,242.88,1,426.79,0
20.26,50.14,16.52,444.5,1,474.52,0
27.98,80.83,28.24,449.71,0,479.16,0
29.76,84.18,32.46,480.68,0,380.29,0
30.52,54.72,25.25,389.73,1,472.62,0
36.28,77.03,20.88,398.74,1,484.93,0
37.54,88.8,24.27,284.59,1,423.04,0
20.99,88.84,15.4,420.33,1,359.68,0
36.58,82.56,22.85,319.35,0,400.43,0
27.32,79.91,30.46,693.16,1,307.62,0
22.0,65.27,21.33,659.86,0,399.67,0
35.67,52.58,31.05,268.38,1,456.43,0
32.03,63.71,18.16,318.39,0,435.52,0
34.05,56.5,21.94,294.02,1,430.48,0
26.3,83.21,36.58,570.94,1,374.54,0
29.85,55.78,35.38,592.65,0,391.98,0
24.73,78.64,18.78,661.26,1,332.43,0
34.16,79.63,20.65,650.12,0,442.2,0
23.36,65.75,16.96,674.14,0,341.41,0
32.76,55.02,27.7,345.08,1,351.66,0
23.6,72.2,18.02,333.88,1,336.82,0
32.3,74.84,20.67,219.76,1,371.82,0
37.98,61.55,29.59,775.02,0,438.15,0
38.16,83.72,31.85,777.62,0,474.65,0
26.1,84.74,37.33,289.65,1,310.59,0
25.55,53.26,35.6,501.29,0,377.81,0
27.69,65.39,33.03,236.28,1,474.4,0
31.75,70.3,16.55,529.44,1,306.08,0
21.92,82.79,31.0,568.97,0,450.42,0
21.57,72.88,39.95,543.33,1,411.69,0
31.54,50.79,27.14,769.9,0,444.65,0
24.63,87.13,30.8,300.63,1,455.88,0
28.42,53.32,30.99,667.4,1,380.93,0
36.6,52.4,36.54,362.11,0,424.98,0
34.77,89.13,26.02,769.36,0,333.83,0
29.65,88.69,29.48,519.45,1,436.6,0
22.42,72.31,33.54,576.02,0,389.32,0
35.2,80.95,20.17,538.54,0,388.2,0
24.26,59.39,18.85,666.92,0,416.39,0
32.7,72.85,29.58,570.94,1,384.37,0
29.11,60.95,15.56,209.69,1,435.06,0
38.6,82.35,39.59,434.39,0,439.03,0
20.29,52.39,29.22,526.72,1,445.51,0
23.07,81.7,31.04,616.07,1,477.32,0
39.49,59.5,21.06,313.84,0,469.25,0
39.39,58.83,16.33,695.65,1,390.9,0
28.44,75.0,26.15,629.49,0,410.78,0
20.76,74.78,35.8,347.11,0,309.22,0
34.66,52.84,36.38,245.28,0,497.34,0
32.77,69.97,34.11,329.59,1,334.09,0
36.52,67.0,22.0,426.69,0,444.68,0
20.87,73.22,34.65,228.06,0,446.42,0
25.52,50.04,35.49,279.97,1,346.33,0
31.32,89.25,38.28,218.24,0,390.84,0
35.45,74.44,26.54,514.65,1,308.32,0
35.37,86.47,24.56,568.03,1,327.18,0
36.3,89.89,16.21,634.63,0,330.55,0
27.49,71.47,27.65,210.06,1,470.93,0
29.92,61.4,34.11,317.62,1,395.41,0
33.33,65.51,30.85,755.97,1,434.24,0
34.62,74.69,21.09,592.56,0,413.91,0
22.18,65.2,17.37,344.34,1,435.69,0
29.07,70.51,31.82,507.91,0,310.5,0
25.92,69.18,24.21,393.53,1,362.85,0
38.83,76.29,34.58,330.49,1,367.42,0
25.81,79.97,16.2,755.31,0,470.04,0
33.83,68.07,19.99,229.66,1,380.1,0
32.84,83.13,16.31,576.93,1,400.26,0
28.44,85.45,32.24,241.17,1,415.02,0
35.78,75.4,25.76,709.98,1,348.01,0
37.03,77.93,37.83,608.14,0,421.75,0
